N,P,K,temperature,humidity,ph,rainfall,label
98.0,42.0,59.0,27.24,81.96,5.6,165.12,rice
25.0,95.0,32.0,20.07,20.22,5.92,179.11,pigeonpeas
14.0,97.0,23.0,24.48,61.26,7.45,40.38,lentil
100.0,13.0,52.0,31.05,88.92,6.12,47.33,muskmelon
83.0,31.0,33.0,27.87,74.3,5.51,145.18,maize
21.0,22.0,11.0,12.74,95.07,6.88,118.3,orange
110.0,9.0,47.0,26.37,83.7,6.49,54.14,watermelon
22.0,16.0,19.0,21.36,89.87,6.4,160.1,pomegranate
21.0,20.0,25.0,26.97,49.99,6.65,179.88,mango
30.0,133.0,32.0,19.0,21.46,5.6,104.75,kidneybeans
107.0,73.0,61.0,27.87,81.91,5.94,155.38,banana
20.0,130.0,25.0,19.93,23.03,6.04,142.99,kidneybeans
17.0,11.0,25.0,26.37,55.71,4.51,91.89,mango
29.0,98.0,27.0,20.88,18.65,6.53,132.51,pigeonpeas
78.0,49.0,38.0,21.5,84.64,6.03,237.55,rice
20.0,24.0,21.0,10.42,83.41,6.35,76.83,grapes
99.0,14.0,49.0,28.9,93.1,6.41,20.93,muskmelon
21.0,23.0,35.0,28.05,96.82,5.85,185.63,coconut
109.0,51.0,17.0,25.43,81.63,6.86,104.31,cotton
13.0,81.0,23.0,17.89,68.09,7.1,50.57,lentil
108.0,51.0,25.0,28.16,75.17,6.89,96.88,cotton
19.0,22.0,21.0,20.54,93.66,6.23,193.61,pomegranate
96.0,9.0,49.0,28.89,90.88,6.24,57.23,watermelon
34.0,67.0,33.0,30.38,73.82,7.45,100.8,blackgram
103.0,88.0,57.0,26.32,74.85,5.95,195.43,banana
103.0,76.0,51.0,29.75,77.63,5.32,130.99,banana
102.0,28.0,26.0,25.73,66.45,6.58,232.63,coffee
27.0,64.0,23.0,31.6,52.36,4.88,92.41,mothbeans
88.0,36.0,34.0,20.12,83.51,6.38,208.84,rice
128.0,45.0,17.0,27.96,80.39,7.68,64.87,cotton
107.0,10.0,46.0,25.01,91.08,6.36,46.33,muskmelon
17.0,104.0,19.0,20.08,21.65,5.87,102.89,kidneybeans
96.0,39.0,37.0,21.71,74.75,5.58,136.7,maize
44.0,90.0,80.0,21.34,14.57,5.93,68.09,chickpea
12.0,132.0,197.0,21.35,94.4,6.16,118.76,apple
30.0,127.0,32.0,19.3,22.06,6.39,130.16,kidneybeans
15.0,77.0,19.0,20.69,21.65,6.2,158.29,pigeonpeas
110.0,34.0,27.0,24.73,69.55,6.78,178.26,coffee
18.0,19.0,18.0,31.91,53.7,5.66,145.21,mango
119.0,40.0,19.0,23.97,81.9,6.85,78.11,cotton
42.0,75.0,99.0,16.11,17.38,5.57,87.0,chickpea
3.0,129.0,201.0,22.85,92.75,5.88,111.13,apple
69.0,31.0,38.0,24.76,80.51,6.24,239.53,rice
8.0,133.0,203.0,22.43,94.94,6.16,119.49,apple
19.0,16.0,23.0,24.05,56.92,4.96,132.32,mango
11.0,135.0,202.0,21.95,93.91,5.76,123.48,apple
